ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Gender,Age,Slots
Alpha Montessori #2,LICENSED,4,Center,0,Not Rated,700,STARKVILLE,39759,53,OKTIBBEHA,601-655-8239,3,"1,2,3,4,5",35
Angela Goforth,LICENSED,3,Group Home,0,Not Rated,405,CLINTON,39056,25,HINDS,601-876-5483,3,"1,2,3",20
Aurora's Day Care,LICENSED,4,Center,0,Not Rated,400,DIBERVILLE,39540,24,HARRISON,662-383-5504,3,"3,4,5",20
Beautiful Minds Learning Center,LICENSED,4,Center,0,Not Rated,400,GULFPORT,39501,24,HARRISON,662-633-0571,3,"3,4,5",20
Betty Freeman,LICENSED,4,Center,0,Not Rated,400,PASS CHRISTIAN,39571,24,HARRISON,662-773-7539,3,"2,3,4",20
Aldine Independent School District,LICENSED,4,Center,1,Low,375,TUPELO,38801,41,LEE,601-486-2129,3,"2,3",19
"A2Z Alphabet Alley, Inc.",LICENSED,4,Center,0,Not Rated,321,TERRY,39170,25,HINDS,228-872-9247,3,"1,2,3,4,5",16
Alesia Howard,LICENSED,4,Center,1,Low,307,TUPELO,38801,41,LEE,601-500-3403,3,"1,2,3,4",15
Barbara  Simpson,LICENSED,4,Center,0,Not Rated,307,JACKSON,39212,25,HINDS,662-537-7831,3,"4,5",15
Bartlett Early Head Start,LICENSED,4,Center,0,Not Rated,300,BAY SAINT LOUIS,39520,23,HANCOCK,662-571-8916,3,"2,3,4",15
Abigail Edo-Okuonghae,LICENSED,4,Center,0,Not Rated,296,HATTIESBURG,39401,18,FORREST,601-291-8755,3,"2,3,4",15
Abundant Love Child Care,LICENSED,4,Center,0,Not Rated,296,HATTIESBURG,39401,18,FORREST,601-317-0806,3,"4,5",15
Agape Tender Care,LICENSED,4,Center,1,Low,296,JACKSON,39212,25,HINDS,601-442-7774,3,"1,2",15
Arlena  Alford Blow,LICENSED,4,Center,2,Average,296,TUPELO,38801,41,LEE,662-328-0300,3,"1,2,3",15
Anh-Thu Nguyen,LICENSED,4,Center,3,Good,290,MOSS POINT,39563,30,JACKSON,601-981-4678,3,"1,2,3",15
Anna Nguyen,LICENSED,3,Group Home,3,Good,290,MOSS POINT,39563,30,JACKSON,660-763-7279,3,"1,2,3,4,5",15
A-1 Montessori,LICENSED,4,Center,0,Not Rated,289,PETAL,39465,18,FORREST,228-865-4736,3,"1,2,3",14
Anh-Nga Thi Ngu,LICENSED,4,Center,0,Not Rated,285,JACKSON,39204,25,HINDS,601-981-4660,3,"3,4,5",14
Beautiful Beginnings LLC Child Care Learning Center,LICENSED,4,Center,0,Not Rated,269,HORN LAKE,38637,17,DESOTO,662-627-5586,3,"3,4,5",13
Angela  Orobor-Williams,LICENSED,3,Group Home,0,Not Rated,257,CORINTH,38834,2,ALCORN,601-866-7118,3,"2,3,4",13
Borden County Independent School District Employee Daycare,LICENSED,4,Center,0,Not Rated,256,GULFPORT,39501,24,HARRISON,601-260-0918,3,"2,3",13
Aurora Ileana Cordon,LICENSED,4,Center,0,Not Rated,255,BYRAM,39272,25,HINDS,662-383-2131,3,"1,2,3,4,5",13
Austin Montessori Sunset,LICENSED,4,Center,0,Not Rated,255,OCEAN SPRINGS,39564,30,JACKSON,662-398-5005,3,"1,2,3,4",13
Barbara Reyna,LICENSED,4,Center,0,Not Rated,255,JACKSON,39202,25,HINDS,662-564-1247,3,"4,5",13
Adventure Academy,LICENSED,4,Center,0,Not Rated,252,BILOXI,39530,24,HARRISON,601-372-0399,3,"2,3,4",13
Adventure Kids Playcare,LICENSED,4,Center,0,Not Rated,250,JACKSON,39209,25,HINDS,601-373-1569,3,"2,3,4",13
A La Chateau Center INC.,LICENSED,4,Center,0,Not Rated,247,BRANDON,39042,61,RANKIN,228-388-4376,3,"4,5",12
A Better Class Learning Academy,LICENSED,3,Group Home,0,Not Rated,240,HATTIESBURG,39401,18,FORREST,228-235-9566,3,"1,2",12
Anna Maria Sanchez,LICENSED,3,Group Home,0,Not Rated,240,OCEAN SPRINGS,39564,30,JACKSON,609-765-2273,3,"1,2,3",12
Barbara  Simoneaux,LICENSED,4,Center,1,Low,240,BILOXI,39530,24,HARRISON,662-537-7793,3,"1,2,3",12
Barbara Gaddis,LICENSED,4,Center,4,Very Good,240,STARKVILLE,39759,53,OKTIBBEHA,662-552-6772,3,"1,2,3,4,5",12
Bong T. Nguyen,LICENSED,4,Center,0,Not Rated,240,OCEAN SPRINGS,39564,30,JACKSON,769-972-1786,3,"1,2,3",12
Abrahams Seed Day Care,LICENSED,4,Center,1,Low,235,JACKSON,39204,25,HINDS,601-310-7599,3,"3,4,5",12
ABCs and 123s Infant and Child Care Center LP,LICENSED,4,Center,0,Not Rated,226,JACKSON,39213,25,HINDS,601-278-2251,3,"3,4,5",11
Aspiring Minds Montessori,LICENSED,4,Center,1,Low,225,JACKSON,39204,25,HINDS,662-358-4849,3,"2,3,4",11
Barbara's Learning Center,LICENSED,4,Center,1,Low,225,OLIVE BRANCH,38654,17,DESOTO,662-566-7836,3,"2,3",11
Anderson Elementary - YMCA of Arlington,LICENSED,4,Center,0,Not Rated,219,JACKSON,39203,25,HINDS,601-826-9603,3,"1,2,3,4,5",11
Big Sandy Employee Child Care,LICENSED,4,Center,3,Good,218,NATCHEZ,39120,1,ADAMS,662-834-9928,3,"1,2,3,4",11
Bluebonnet Country Preschool,LICENSED,4,Center,2,Average,217,HATTIESBURG,39402,37,LAMAR,769-243-9304,3,"4,5",11
Antonia  Hernandez,LICENSED,4,Center,0,Not Rated,216,MAGEE,39111,64,SIMPSON,662-252-4762,3,"2,3,4",11
BISD Community Services STARS Lost Pines Elementary School,LICENSED,2,Slot Contractor,1,Low,216,MERIDIAN,39305,38,LAUDERDALE,662-844-4420,3,"2,3,4",11
Bobbye Hill,LICENSED,4,Center,0,Not Rated,216,MAGEE,39111,64,SIMPSON,769-572-7126,3,"4,5",11
A+ Kids Playschool,LICENSED,4,Center,2,Average,215,FOREST,39074,62,SCOTT,228-863-1135,3,"1,2",11
Athena Montessori Academy,LICENSED,4,Center,0,Not Rated,215,BRANDON,39042,61,RANKIN,662-375-8384,3,"1,2,3",11
Big Dreams & Lil Wonders Christian Academy # 2,LICENSED,4,Center,0,Not Rated,213,JACKSON,39211,25,HINDS,662-834-0890,3,"1,2,3",11
Berne Academy DCC,LICENSED,4,Center,3,Good,206,JACKSON,39204,25,HINDS,662-745-0240,3,"1,2,3,4,5",10
1st Step Early Learning Center,LICENSED,4,Center,0,Not Rated,203,BRANDON,39042,61,RANKIN,228-206-8654,3,"1,2,3",10
Angela Keefe,LICENSED,3,Group Home,0,Not Rated,202,JACKSON,39213,25,HINDS,601-878-6882,3,"3,4,5",10
April D Hibdon,LICENSED,4,Center,0,Not Rated,201,TUPELO,38801,41,LEE,662-289-4900,3,"3,4,5",10
A & W Learning Academy,LICENSED,3,Group Home,4,Very Good,200,COLLINS,39428,16,COVINGTON,228-229-5102,3,"2,3,4",10
"A B C Academy, LLC",LICENSED,4,Center,4,Very Good,200,COLLINS,39428,16,COVINGTON,228-234-0970,3,"2,3",10
Beginners World Learning Academy,LICENSED,4,Center,0,Not Rated,200,VICKSBURG,39180,75,WARREN,662-673-2330,3,"1,2,3,4,5",10
123-ABC Learning Center,LICENSED,4,Center,0,Not Rated,199,BYHALIA,38611,17,DESOTO,228-206-2886,3,"1,2,3,4",10
Alison Hitchcock,LICENSED,3,Group Home,2,Average,199,JACKSON,39212,25,HINDS,601-545-7322,3,"4,5",10
Adventure Kids Playcenter,LICENSED,4,Center,0,Not Rated,198,JACKSON,39206,25,HINDS,601-389-2053,3,"2,3,4",10
Afkham Afshar,LICENSED,3,Group Home,0,Not Rated,198,JACKSON,39206,25,HINDS,601-407-6089,3,"2,3,4",10
